exprid,N10000M5alpha50_Time,N10000M5alpha50_NC,N10000M5alpha50_MM,N10000M10alpha50_Time,N10000M10alpha50_NC,N10000M10alpha50_MM,N10000M50alpha50_Time,N10000M50alpha50_NC,N10000M50alpha50_MM,N10000M100alpha50_Time,N10000M100alpha50_NC,N10000M100alpha50_MM,N10000M5alpha70_Time,N10000M5alpha70_NC,N10000M5alpha70_MM,N10000M10alpha70_Time,N10000M10alpha70_NC,N10000M10alpha70_MM,N10000M50alpha70_Time,N10000M50alpha70_NC,N10000M50alpha70_MM,N10000M100alpha70_Time,N10000M100alpha70_NC,N10000M100alpha70_MM
38,16.291881924,-123.59580034630072,0.4158258150983714,17.657715953,-120.93041511768344,0.43769769922574864,22.883475194,-113.58292024002957,0.43585270819786626,14.92838114,-114.4395308338178,0.4110451577218292,24.851708994,-123.19612535828055,0.4380966346171745,22.709637892,-120.97833921658199,0.41765798833064804,21.315068602,-114.8601998020639,0.42601207023369503,35.196423826,-113.3699781664889,0.4242807302565973
39,16.286829649,-123.58635256044373,0.44444715121787554,16.409515519,-120.50688665780106,0.4551889980082717,17.533088156,-114.39515250013046,0.4200252425127755,14.83608468,-112.4769411048892,0.40956386476105855,24.344391085999998,-122.32648023518273,0.4850534611089687,23.094164418000002,-122.59467291765006,0.4394675278292013,23.766803053,-114.42140294852683,0.40551987225873665,28.427331579,-113.01597943343697,0.3912121056797628
40,16.242687924,-122.6660199110676,0.4416596371593235,15.333458519,-120.44720180426731,0.43967452575755006,13.492841225,-116.09841400088901,0.42044499907806837,14.69148436,-111.74880623646581,0.4111596925031728,24.161509821,-123.17809886595064,0.41625199905999327,26.158773054999997,-120.6943140994729,0.4313604946141049,21.528785038000002,-114.99069916640558,0.43105971511767005,20.580096845,-112.91974630313655,0.4016296936492894
41,22.977840049999998,-122.49706502833799,0.46382514771536953,36.434428504,-120.89528778694857,0.4374116245705888,31.746134745000003,-111.45326049537151,0.40666292568903717,34.891178476,-113.96070108452426,0.37903033402028985,39.900299575,-122.31713263129744,0.43232275475936144,35.071087836,-121.88720606092608,0.41327391028797134,39.748890712000005,-114.27633580847875,0.4198305941634964,28.335570326000003,-111.82358153707189,0.42323158800124616
42,19.517801444,-124.01604197045646,0.42670688800084744,19.931467692,-121.52617114456118,0.435333473302562,26.129963657,-114.01526380543385,0.4156368270584039,24.343297647,-112.62841963705779,0.39678266745561835,25.551820603,-122.33529633412931,0.4518616411201357,25.512114277000002,-121.07287871909924,0.4304987143619575,35.928293161,-114.9870101530175,0.4098153369750921,23.424129951999998,-113.27861522472938,0.414158832712008
43,16.445352696,-123.40064127685241,0.4296329037630443,18.072788978000002,-118.79107902646699,0.4363305216457771,24.722890271,-113.74113414338143,0.3811149685983288,23.329797306000003,-113.1661414170486,0.38164887273307624,28.38358044,-123.17209431942929,0.4562959421311342,24.096279459999998,-119.28282077602289,0.43963176165207263,25.632440255,-114.42762622830251,0.40231786174132467,29.284480927,-114.04569849457077,0.41098709365275055
44,15.866972304999999,-121.77339245734271,0.45411662627555405,16.537171847,-120.387233620102,0.41269186063407126,14.851621289999999,-114.2162635272646,0.40071061707349986,14.161271238000001,-113.65257291346893,0.389777971659766,37.358237701,-124.3384430821992,0.4390895948042724,26.402544134,-120.4161836188521,0.41335962998625614,24.228975012,-115.21870191113226,0.418345295791378,22.159405316999997,-114.10575938785192,0.3952397519607652
45,18.611811644000003,-123.4042248132294,0.4542587929869105,14.972215124,-121.40897912702341,0.4391673151038249,13.546872054,-116.1276170551453,0.3879147448937893,14.068176925000001,-114.70811795578126,0.3905534769589498,25.701050351,-122.91607274439424,0.44015160126036046,25.45557175,-120.99487439471342,0.4565811612523524,21.661361716000002,-114.30741647774715,0.4078769944303577,22.128801700999997,-112.85830944635977,0.4102270774699845
46,22.304218792,-121.67725741861551,0.41260238335901533,22.74589388,-119.30136827407438,0.427017687918253,26.497443278,-115.13081597492356,0.3981355685870014,20.792593701999998,-116.1640952508853,0.4225391610127346,30.65576438,-122.20214665100158,0.43871053383225317,30.394891314,-121.03579189183137,0.43290258569039775,46.466875783000006,-114.69558885927452,0.40923719350817317,29.608469510000003,-114.03629784776116,0.40532974079171674
47,15.666592078999999,-121.75658186005325,0.4199425837106787,17.297229141,-121.9785828801921,0.4431840999506981,16.023251056,-114.40222349639345,0.425272390596449,14.789967716,-112.45556054117618,0.39497802675371807,24.106057788999998,-122.63921124516233,0.46482030095807003,23.119619616999998,-120.45886120053069,0.4314953504046416,37.43531534,-115.68572813204135,0.4009204056689826,21.850202013,-113.22217677803188,0.4014125375600756
